Age_range,Gender,Languages,Country,Nationality,Education,Major,Occupation,Devices,Internet_familiarity,Internet_quality,Desktop_familiarity,Laptop_familiarity,Phone_familiarity,Feature_phone_familiarity,Tablet_familiarity,Smartwatch_familiarity
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,Above College/Diploma/Equivalent Degree,Software Engineering,Student,Desktop Computer / iMac / Mac mini;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,,5.0,5.0,,5.0
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,BSc Engineering ,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Feature phone (with physical keyboard having no touchscreen),5.0,3.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Preferred not to disclose,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,CSE,Private employee (not officer),Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Medical,Doctor/Dentist/Nurse/Pharmacist/Health Professional,Android / iPhone / Touchscreen phone,5.0,2.0,5.0,5.0,5.0,,,3.0
Millennials: Born 1981-1996,Male,English;Russian,Poland,Belarusian,University/Higher Degree,Computer science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,5.0,4.0,5.0,5.0,5.0,,5.0,5.0
Millennials: Born 1981-1996,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science/IT,IT Professional,Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,3.0,5.0,5.0,1.0,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,Below High School/SSC/O-level/Equivalent Degree,CS,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad;Smartwatch,4.0,3.0,5.0,5.0,5.0,,5.0,5.0
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,IT,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,3.0,,3.0
Millennials: Born 1981-1996,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Arts,Unemployed,Android / iPhone / Touchscreen phone,5.0,3.0,,,5.0,3.0,3.0,3.0
Millennials: Born 1981-1996,Preferred not to disclose,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,,3.0
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,CSE,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Law,Lawyer,Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,Above College/Diploma/Equivalent Degree,Computer Science and Engineering,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,4.0,,,,,,2.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi;Japanese,Bangladesh,Bangladeshi,University/Higher Degree,Mechanical Engineering ,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Feature phone (with physical keyboard having no touchscreen);Tablet / iPad,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,United States,Bangladeshi,University/Higher Degree,Biomedical Engineering,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
